City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
385,Abu Zabad,SD,81.43,clear sky,12.35,29.25,Abu Zabad
391,Bosaso,SO,75.96,clear sky,11.28,49.18,Bosaso
393,Mahibadhoo,MV,82.13,broken clouds,3.78,72.97,Omadhoo
402,Kudahuvadhoo,MV,82.31,broken clouds,2.67,72.89,Kudahuvadhoo
406,Itarema,BR,79.29,overcast clouds,-2.92,-39.92,Itarema
407,Samarai,PG,81.99,light rain,-10.62,150.67,Sidudu
411,Boyolangu,ID,77.5,broken clouds,-8.12,111.89,Tulungagung
414,Itaituba,BR,82.9,moderate rain,-4.28,-55.98,Itaituba
416,Cayenne,GF,77.0,clear sky,4.93,-52.33,Cayenne
417,Poso,ID,87.01,overcast clouds,-1.4,120.75,Poso
418,Muli,MV,82.29,overcast clouds,2.92,73.57,Muli
419,Half Moon Bay,US,77.0,clear sky,37.46,-122.43,Half Moon Bay
420,Trinidad,BO,82.4,scattered clouds,-14.83,-64.9,Trinidad
421,Kanniyakumari,IN,79.12,overcast clouds,8.08,77.57,Agasteeswaram
430,Alenquer,BR,82.4,clear sky,-1.94,-54.74,Alenquer
434,Pontes E Lacerda,BR,75.61,scattered clouds,-15.23,-59.34,Centro
436,Sola,VU,81.55,broken clouds,-13.88,167.55,Sola
441,Lazaro Cardenas,MX,83.64,light rain,17.96,-102.2,Lázaro Cárdenas
460,Hambantota,LK,78.58,broken clouds,6.12,81.12,Hambantota
469,Libreville,GA,80.6,broken clouds,0.39,9.45,Libreville
471,Pyapon,MM,77.05,overcast clouds,16.28,95.68,Pyapon
472,Port Dickson,MY,77.0,moderate rain,2.52,101.8,Port Dickson
473,Eyl,SO,78.53,few clouds,7.98,49.82,Eyl
479,Nabire,ID,85.87,overcast clouds,-3.37,135.48,Nabire
480,Umm Lajj,SA,78.12,clear sky,25.02,37.27,Umluj
482,Nisia Floresta,BR,78.8,few clouds,-6.09,-35.21,São José de Mipibu
486,Mackay,AU,86.0,clear sky,-21.15,149.2,Mackay
487,Ciudad Bolivar,VE,82.47,light rain,8.12,-63.55,Ciudad Bolívar
489,Padang,ID,77.4,overcast clouds,-0.95,100.35,Padang
492,San Ramon,US,81.0,smoke,37.78,-121.98,San Ramon
493,Manta,EC,75.2,broken clouds,-0.95,-80.73,Manta
500,Itaberaba,BR,77.79,broken clouds,-12.53,-40.31,Itaberaba
503,Santa Barbara,US,87.8,clear sky,34.73,-120.03,Upper Ballard Campground
504,Guane,CU,77.41,scattered clouds,22.2,-84.09,Guane
508,Dhidhdhoo,MV,82.22,scattered clouds,6.88,73.1,Dhidhdhoo
510,Amapa,BR,81.03,broken clouds,1.0,-52.0,Teresinha
512,Iralaya,HN,80.29,moderate rain,15.0,-83.23,Iralaya
523,Hillsborough,US,77.0,clear sky,37.57,-122.38,San Mateo
524,Bowen,AU,86.0,clear sky,-20.02,148.23,Bowen
527,Kavieng,PG,85.19,clear sky,-2.57,150.8,Kaewieng
530,Banikoara,BJ,78.48,clear sky,11.3,2.44,Banikoara
531,Port Macquarie,AU,75.99,clear sky,-31.43,152.92,Port Macquarie
534,Pochutla,MX,84.2,scattered clouds,15.74,-96.47,Pochutla District
535,Tessalit,ML,75.43,scattered clouds,20.2,1.01,Achemelmel
536,Galle,LK,77.99,broken clouds,6.04,80.22,Galle
537,Maningrida,AU,85.14,few clouds,-12.07,134.27,West Arnhem
540,Mareeba,AU,88.0,scattered clouds,-17.0,145.43,Mareeba
542,Belawan,ID,76.19,moderate rain,3.78,98.68,Medan
543,Ndioum,SN,80.6,clear sky,16.51,-14.65,Ndioum
545,Wewak,PG,84.72,moderate rain,-3.55,143.63,Wewak
547,Anloga,GH,80.6,scattered clouds,5.79,0.9,Anloga
552,Neuquen,AR,82.4,clear sky,-38.95,-68.06,Neuquen
553,Berbera,SO,81.54,clear sky,10.44,45.01,Berbera
554,Biloela,AU,80.11,scattered clouds,-24.42,150.5,Biloela
555,Meulaboh,ID,78.15,overcast clouds,4.14,96.13,Meulaboh
557,Porto Novo,BJ,82.4,scattered clouds,6.5,2.6,Porto-Novo
561,Kahului,US,89.6,few clouds,20.89,-156.47,Kahului
568,Jibuti,DJ,82.4,scattered clouds,11.5,42.5,Orchid Main Camp Goubet
571,Gamba,GA,76.53,overcast clouds,-2.65,10.0,Foundou
572,Ahuimanu,US,86.0,scattered clouds,21.44,-157.84,Honolulu
576,Maues,BR,84.11,scattered clouds,-3.38,-57.72,Maués
586,Port Keats,AU,86.25,scattered clouds,-14.25,129.55,Thamarrurr
589,Mormugao,IN,78.8,mist,15.4,73.8,Vasco da Gama
592,Veraval,IN,78.3,clear sky,20.9,70.37,Veraval
594,Pakokku,MM,76.73,moderate rain,21.33,95.1,Pakokku
599,Yuli,NG,78.12,scattered clouds,9.7,10.27,Bajoga
602,Buala,SB,86.74,scattered clouds,-8.14,159.59,Buala
603,Oum Hadjer,TD,83.26,few clouds,13.3,19.7,Oum Hadjer
609,Manggar,ID,80.96,light rain,-2.88,108.27,Manggar
612,Kloulklubed,PW,80.6,shower rain,7.04,134.26,Klouklubed
613,Guanica,PR,79.0,overcast clouds,17.97,-66.91,Guanica
623,Mabaruma,GY,79.12,broken clouds,8.2,-59.78,Mabaruma
625,Poya,NC,84.31,clear sky,-21.35,165.15,Poya
628,Diamantino,BR,77.32,overcast clouds,-14.41,-56.45,Diamantino
629,Alice Springs,AU,75.2,scattered clouds,-23.7,133.88,Alice Springs
630,Denpasar,ID,78.04,overcast clouds,-8.65,115.22,Denpasar
635,Rockhampton,AU,82.4,broken clouds,-23.38,150.5,Rockhampton
647,Kingsville,US,80.6,clear sky,27.52,-97.86,Kingsville
649,Damaturu,NG,78.19,clear sky,11.75,11.96,Damaturu
655,Santiago De Las Vegas,CU,80.6,few clouds,22.97,-82.39,Havana
658,Paciran,ID,76.53,overcast clouds,-6.88,112.38,SMP Muhammadiyah 12
667,Takoradi,GH,78.39,scattered clouds,4.88,-1.76,Takoradi
668,Dicabisagan,PH,77.86,overcast clouds,17.08,122.42,Ilagan
670,Bubaque,GW,83.8,broken clouds,11.28,-15.83,Bubaque
671,Nargana,PA,80.15,overcast clouds,9.44,-78.59,Tupile
672,Tabou,CI,77.77,overcast clouds,4.42,-7.35,Tabou
678,Innisfail,AU,81.0,clear sky,-17.53,146.03,Innisfail
686,San Andres,CO,82.4,broken clouds,12.58,-81.7,San Andrés
689,Nhulunbuy,AU,87.8,broken clouds,-12.23,136.77,Nhulunbuy
692,Morondava,MG,76.12,broken clouds,-20.28,44.28,Morondava
694,Merauke,ID,84.02,overcast clouds,-8.47,140.33,Urum
700,Tual,ID,83.62,overcast clouds,-5.67,132.75,Tual
702,Santa Cruz,BO,86.0,clear sky,-17.8,-63.17,Santa Cruz de la Sierra
709,Brownwood,US,77.0,clear sky,31.71,-98.99,Brownwood
711,Ambon,ID,82.0,broken clouds,-3.7,128.18,Teluk Ambon
712,Luganville,VU,84.2,few clouds,-15.53,167.17,Luganville
